model_name,similarity
lemmatized_cbow_window2_dim300,0.9999184846878052
lemmatized_cbow_window4_dim300,0.9999096870422364
lemmatized_cbow_window2_dim100,0.9998514294624329
lemmatized_cbow_window4_dim100,0.9998461604118347
stemmed_cbow_window2_dim300,0.9994134902954102
stemmed_cbow_window4_dim300,0.999389386177063
stemmed_cbow_window2_dim100,0.9988985300064087
lemmatized_skipgram_window2_dim300,0.9988450884819031
stemmed_cbow_window4_dim100,0.998752748966217
lemmatized_skipgram_window2_dim100,0.9984229207038879
lemmatized_skipgram_window4_dim300,0.9971574187278748
lemmatized_skipgram_window4_dim100,0.9958354711532593
stemmed_skipgram_window2_dim300,0.9943438053131104
stemmed_skipgram_window2_dim100,0.9925349473953247
stemmed_skipgram_window4_dim300,0.9909379959106446
stemmed_skipgram_window4_dim100,0.9894066214561462
